Term,Type/Unit,Description
Standard: Polycrystalline,PV Module Type,"A standard polycrystalline solar panel is a type of solar panel that uses polycrystalline silicon photovoltaic cells to convert sunlight into electricity. Polycrystalline solar panels are made up of many small silicon crystals, which gives them a distinctive blue or purple color. They are a popular choice for residential and commercial solar installations because they are relatively efficient, durable, and cost-effective. Standard polycrystalline solar panels are typically rectangular in shape and are mounted on a fixed frame or rack on the roof of a building. They are a good choice for many solar installations because they can be easily integrated with existing electrical systems and have a relatively low environmental impact. Approximate nominal efficiency is 19% with glass with anti-reflective coating as the module cover. Temperature coefficient of power is -0.37%/degrees Celsius."
Premium: Monocrystalline,PV Module Type,"A premium monocrystalline solar panel is a type of solar panel that uses a single, large crystal of silicon to convert sunlight into electricity. Monocrystalline solar panels are made up of a single, continuous crystal of silicon, which gives them a distinctive black or dark blue color. They are considered to be the most efficient type of solar panel. Premium monocrystalline solar panels are typically used in high-end residential and commercial solar installations, where efficiency and performance are a top priority. They are also more expensive than other types of solar panels, such as polycrystalline solar panels, but they offer a higher return on investment over the long term. Approximate nominal efficiency is 21% with glass with anti-reflective coating as the module cover. Temperature coefficient of power is -0.35%/degrees Celsius."
Thin film,PV Module Type,"A thin film solar panel is a type of solar panel that uses a thin layer of photovoltaic material to convert sunlight into electricity. Unlike traditional solar panels, which use crystalline silicon cells, thin film solar panels use a layer of photovoltaic material that is only a few micrometers thick. This allows them to be much more flexible and lightweight than traditional solar panels, and they can be easily integrated into a variety of different surfaces and structures. Thin film solar panels are a popular choice for portable solar installations, such as solar-powered backpack chargers, and for building-integrated photovoltaic (BIPV) systems, where the panels are integrated into the roof or facade of a building. They are also a more cost-effective option than traditional solar panels for large-scale solar installations, such as utility-scale solar power plants."
Analysis Period,Years,"The amount of time in years you want to run the simulation against. In other words, what is the financial and system lifetime degradation output during the analysis period."
DC Degradation,Percent,"DC degradation is a term used to describe the decrease in performance of a photovoltaic (PV) system over time. In a PV system, the solar panels generate direct current (DC) electricity, which is then converted into alternating current (AC) electricity by an inverter. DC degradation occurs when the solar panels experience a loss of efficiency or a decrease in their ability to generate electricity. This can be caused by a number of factors, including aging of the solar panels, damage or wear and tear, and exposure to extreme weather conditions. DC degradation can have a significant impact on the performance of a PV system, reducing its overall output and the amount of electricity it generates. It is important to monitor and maintain a PV system to prevent or minimize DC degradation."
Array Type,Panel Characteristic,"A solar panel array is a group of solar panels that are connected together to generate electricity. The type of solar panel array that is used in a particular installation will depend on a number of factors, including the size of the installation, the amount of electricity needed, and the location and orientation of the panels. The array type describes whether the PV modules in the array are fixed, or whether they move to track the movement of the sun across the sky with one or two axes of rotation. It includes Fixed - Open Rack, Fixed - Roof Mounted, 1-Axis, Backtracked, and 2-Axis."
Module Type,Panel Characteristic,"The type of the actual module in the solar panel arrays gathering sunlight. They include Standard: Polycrystalline, Premium: Monocrystalline, and Thin Film."
Capacity Factor,Percent,"The ratio of the system's predicted electrical output in the first year of operation to the nameplate output, which is equivalent to the quantity of energy the system would generate if it operated at its nameplate capacity for every hour of the year. (AC-to-DC)"
AC Output,Kilowatt-Hours or Watts ,"AC output refers to the alternating current (AC) electricity that is produced by a solar power system. AC electricity is the type of electricity that is typically used in homes and businesses. Solar panels produce direct current (DC) electricity, which must be converted to AC electricity by an inverter before it can be used. The AC output of a solar power system depends on the efficiency of the solar panels and inverters, the amount of sunlight that is available, and the load on the system."
DC Input,Kilowatt-Hours or Watts ,"DC output refers to the direct current (DC) electricity that is produced by a solar power system. Solar panels produce DC electricity, which is the type of electricity that is typically used in batteries and other low-voltage systems. The DC output of a solar power system depends on the efficiency of the solar panels, the amount of sunlight that is available, and the load on the system. In order to use the DC electricity that is produced by a solar panel, it must be converted to alternating current (AC) electricity by an inverter before it can be used to power most appliances and devices."
Solar Radiation,Kilowatt-Hours Per Square Meter Per Day or Watts per Meter squared,"Solar radiation, also known as the solar resource or insolation, is a measure of the amount of solar energy that is available at a particular location and time. The amount of solar radiation that an area receives can vary depending on factors such as the time of year, the weather, and the location. In general, areas closer to the equator tend to receive more solar radiation than areas closer to the poles."
Ambient Temperature,Celsius,"The temperature of the air or the immediate surroundings of a photovoltaic (PV) module or solar panel. It is an important parameter for determining the performance and efficiency of a solar panel, as temperature can have a significant impact on the electrical output of a PV system."
Cell Temperature,Celsius,"The temperature of the individual solar cells that make up the panel. It is an important parameter for determining the performance and efficiency of a photovoltaic (PV) system, as it affects the electrical output of the cells and, in turn, the overall output of the panel."
Module Efficiency,Percent,"The percentage of solar energy that is converted into electricity by a photovoltaic (PV) module. In other words, it measures how effectively a solar panel can convert the energy from the sun into usable electrical power."
Temperature,Celsius,The temperature of the air at a given time in the weather data tables.
Plane of Array Irradiance,Kilowatts or Watts per Meter squared,"The amount of solar irradiance that reaches a photovoltaic (PV) module or array in a specific plane, which is typically defined as a plane perpendicular to the axis of the module. In other words, it is the amount of sunlight that is received by the PV module after taking into account factors such as shading, reflection, and orientation."
Bifaciality,Ratio,"A bifacial photovotaic module is a type of module that converts solar irradiance incident on both the front and rear of the module into electricity. For a system with bifacial modules, PVWatts calculates the plane-of-array irradiance on the rear side of the array in each hour based on the available solar resource, position of the sun, and array orientation, and considering ground reflectance (albedo) and spacing between rows of modules. It assumes a bifaciality factor of 0.7, transmission factor of 0.013, and ground clearance height of 1 meter. The bifacial option is not available for the Fixed Roof Mount array type because bifacial modules require space between the module and roof surface to allow sunlight to reach the back of the module."
Soiling Loss,Percent,"Losses due to dirt and other foreign matter on the surface of the PV module that prevent solar radiation from reaching the cells. Soiling is location- and weather-dependent. There are greater soiling losses in high-traffic, high-pollution areas with infrequent rain. The default value is 2%. You can use monthly irradiance losses for losses that vary by month instead of including soiling in the system losses."
Shading Loss,Percent,"Reduction in the incident solar radiation from shadows caused by objects near the array such as buildings or trees, or by self-shading for modules arranged in rows when modules in one row cause shadows on those in an adjacent row. The default value of 1% represents an array with little or no shading. Shading analysis tools can determine a loss percentage for shading by nearby objects. You should not use the shading loss to account for self-shading with the one-axis tracking option."
Snow Loss,Percent,"Reduction in the system's annual output due to snow covering the array. The default value is zero, assuming either that there is never snow on the array, or that the array is kept clear of snow. You can use the monthly irradiance losses to represent snow loss instead of including it in the system losseds."
Mismatch Loss,Percent,Electrical losses due to slight differences caused by manufacturing imperfections between modules in the array that cause the modules to have slightly different current-voltage characteristics. The default value of is 2%.
Wiring Loss,Percent,"Resistive losses in the DC and AC wires connecting modules, inverters, and other parts of the system. The default value is 2%."
Connections Loss,Percent,Resistive losses in electrical connectors in the system. The default value is 0.5%.
Light-Induced Degradation Loss,Percent,Effect of the reduction in the array's power during the first few months of its operation caused by light-induced degradation of photovoltaic cells. The default value is 1.5%.
Nameplate Rating Loss,Percent,The nameplate rating loss accounts for the accuracy of the manufacturer's nameplate rating. Field measurements of the electrical characteristics of photovoltaic modules in the array may show that they differ from their nameplate rating. A nameplate rating loss of 5% would indicates that testing yielded power measurements at Standard Test Conditions (STC) that were 5% less than the manufacturer's nameplate rating. The default value is 1%.
Age Loss,Percent,Effect of weathering of the photovoltaic modules on the array's performance over time. The default value is zero.
Availability Loss,Percent,"Reduction in the system's output cause by scheduled and unscheduled system shutdown for maintenance, grid outages, and other operational factors. The default value is 3%."
